data,ultio,abertura,axia,inia,Volue,Variacao
11/03/2022,32.49,33.91,34.38,32.07,92.15,-3.59%
10/03/2022,33.70,32.60,34.60,32.52,136.44,3.50%
09/03/2022,32.56,32.60,32.82,31.74,87.78,0.31%
08/03/2022,32.46,32.00,32.97,31.51,111.63,2.08%
07/03/2022,31.80,34.50,34.60,31.63,110.95,-7.10%
04/03/2022,34.23,34.08,34.68,33.82,55.42,-0.03%
03/03/2022,34.24,34.82,34.93,34.16,69.24,-1.24%
02/03/2022,34.67,35.26,35.29,34.39,58.07,1.97%
25/02/2022,34.00,33.45,34.00,32.90,86.19,1.83%
24/02/2022,33.39,34.80,35.29,32.68,139.67,-2.43%
23/02/2022,34.22,34.18,34.60,33.80,86.53,1.42%
22/02/2022,33.74,34.22,34.68,33.21,80.21,-0.32%
21/02/2022,33.85,33.05,34.00,33.00,51.26,2.58%
18/02/2022,33.00,32.57,33.09,32.27,58.65,0.61%
17/02/2022,32.80,32.85,33.29,32.55,43.26,-0.39%
16/02/2022,32.93,32.83,33.70,32.77,65.81,1.39%
15/02/2022,32.48,32.66,32.68,31.89,65.69,-1.58%
14/02/2022,33.00,33.86,33.94,32.82,55.69,-2.25%
11/02/2022,33.76,32.77,33.91,32.63,88.01,4.07%
10/02/2022,32.44,32.30,32.90,31.94,49.53,1.53%
09/02/2022,31.95,31.74,32.69,31.65,50.96,0.38%
08/02/2022,31.83,31.90,31.95,31.26,62.59,-1.00%
07/02/2022,32.15,32.55,32.78,32.13,48.87,-1.47%
04/02/2022,32.63,32.41,33.23,31.88,59.35,1.75%
03/02/2022,32.07,32.35,32.92,31.62,51.09,-1.38%
02/02/2022,32.52,33.41,33.49,32.36,36.27,-1.45%
01/02/2022,33.00,32.35,33.32,31.95,57.32,2.01%
31/01/2022,32.35,32.50,33.00,32.07,62.45,-0.58%
28/01/2022,32.54,33.80,34.35,32.20,117.40,-3.96%
27/01/2022,33.88,34.25,34.64,33.17,90.63,0.03%
26/01/2022,33.87,33.30,34.27,33.30,98.68,2.67%
25/01/2022,32.99,31.70,33.23,31.58,98.36,3.26%
24/01/2022,31.95,31.69,32.25,31.04,79.12,0.57%
21/01/2022,31.77,31.57,31.88,31.53,60.38,0.16%
20/01/2022,31.72,31.50,32.00,31.11,85.35,0.73%
19/01/2022,31.49,31.90,32.21,31.44,77.48,-0.47%
18/01/2022,31.64,31.56,31.98,30.97,78.20,0.44%
17/01/2022,31.50,31.40,31.81,31.25,35.68,0.16%
14/01/2022,31.45,30.28,31.60,30.24,96.46,3.73%
13/01/2022,30.32,29.53,30.63,29.50,76.72,2.02%
12/01/2022,29.72,28.95,29.91,28.95,81.38,3.05%
11/01/2022,28.84,28.10,29.07,27.85,73.62,2.96%
10/01/2022,28.01,27.99,28.24,27.72,37.46,-0.60%
07/01/2022,28.18,28.11,28.29,27.82,47.51,0.46%
06/01/2022,28.05,28.29,28.65,27.84,61.16,-0.07%
05/01/2022,28.07,29.19,29.27,27.94,78.46,-3.87%
04/01/2022,29.20,29.16,29.40,28.91,51.74,0.38%
03/01/2022,29.09,28.54,29.22,28.53,52.70,2.25%
30/12/2021,28.45,28.55,28.70,28.39,43.23,-0.32%
29/12/2021,28.54,28.70,28.90,28.42,35.51,-0.83%
28/12/2021,28.78,29.01,29.28,28.70,30.69,0.10%
27/12/2021,28.75,28.32,28.78,28.15,44.23,1.48%
23/12/2021,28.33,28.33,28.42,28.15,28.71,0.60%
22/12/2021,28.16,28.40,28.40,27.97,33.73,-0.14%
21/12/2021,28.20,28.55,28.72,28.12,40.45,0.14%
