date;price;percentChange;change
30/03/1983;29.27;;
04/04/1983;30.63;4.646.395.626.921.760;1.36
02/05/1983;30.25;-12.406.137.773.424.700;-0.38
01/06/1983;31.38;37.355.371.900.826.400;1.13
01/07/1983;32.0;1.975.780.752.071.380;0.62
01/08/1983;31.59;-128.125;-0.41
01/09/1983;30.36;-389.363.722.697.056;-1.23
03/10/1983;30.37;0.03293807641633729;0.01
01/11/1983;29.23;-37.537.043.134.672.300;-1.14
01/12/1983;29.6;12.658.227.848.101.200;0.37
03/01/1984;29.98;12.837.837.837.837.800;0.38
01/02/1984;30.55;19.012.675.116.744.400;0.57
01/03/1984;30.85;0.9819967266775778;0.3
02/04/1984;30.26;-1.912.479.740.680.710;-0.59
01/05/1984;30.83;18.836.748.182.419.000;0.57
01/06/1984;29.75;-3.503.081.414.206.940;-1.08
02/07/1984;27.6;-7.226.890.756.302.520;-2.15
01/08/1984;29.23;5.905.797.101.449.270;1.63
04/09/1984;29.66;1.471.091.344.509.060;0.43
01/10/1984;28.46;-4.045.853.000.674.300;-1.2
01/11/1984;27.31;-4.040.758.959.943.780;-1.15
03/12/1984;26.41;-32.954.961.552.544.800;-0.9
02/01/1985;26.41;0.0;0.0
01/02/1985;26.73;121.166.224.914.805;0.32
01/03/1985;28.29;5.836.139.169.472.500;1.56
01/04/1985;27.63;-23.329.798.515.376.400;-0.66
01/05/1985;27.84;0.760043431053203;0.21
03/06/1985;26.87;-34.841.954.022.988.500;-0.97
01/07/1985;27.12;0.9304056568663938;0.25
01/08/1985;28.08;35.398.230.088.495.500;0.96
03/09/1985;29.08;3.561.253.561.253.560;1.0
01/10/1985;30.38;4.470.426.409.903.710;1.3
01/11/1985;29.75;-20.737.327.188.940.000;-0.63
02/12/1985;26.3;-11.596.638.655.462.100;-3.45
02/01/1986;18.83;-28.403.041.825.095.000;-7.47
03/02/1986;13.26;-29.580.456.718.003.100;-5.57
03/03/1986;10.42;-21.417.797.888.386.100;-2.84
01/04/1986;13.34;28.023.032.629.558.500;2.92
01/05/1986;14.3;719.640.179.910.045;0.96
02/06/1986;12.78;-1.062.937.062.937.060;-1.52
01/07/1986;11.15;-12.754.303.599.374.000;-1.63
01/08/1986;15.9;42.600.896.860.986.500;4.75
02/09/1986;14.77;-71.069.182.389.937.100;-1.13
01/10/1986;15.27;33.852.403.520.649.900;0.5
03/11/1986;15.0;-1.768.172.888.015.710;-0.27
01/12/1986;17.94;19.6;2.94
02/01/1987;18.75;451.505.016.722.408;0.81
02/02/1987;16.6;-11.466.666.666.666.600;-2.15
02/03/1987;18.83;13.433.734.939.759.000;2.23
01/04/1987;18.73;-0.5310674455655868;-0.1
01/05/1987;19.38;34.703.683.929.524.800;0.65
01/06/1987;20.29;4.695.562.435.500.510;0.91
01/07/1987;21.37;5.322.819.122.720.550;1.08
03/08/1987;19.73;-7.674.309.780.065.510;-1.64
01/09/1987;19.59;-0.7095793208312214;-0.14
01/10/1987;19.96;18.887.187.340.479.800;0.37
02/11/1987;18.51;-7.264.529.058.116.230;-1.45
01/12/1987;16.7;-9.778.498.109.130.190;-1.81
04/01/1988;16.94;1.437.125.748.502.990;0.24
01/02/1988;16.01;-54.899.645.808.736.700;-0.93
01/03/1988;17.08;6.683.322.923.173.010;1.07
04/04/1988;17.99;5.327.868.852.459.010;0.91
02/05/1988;17.51;-2.668.148.971.650.910;-0.48
01/06/1988;15.16;-13.420.902.341.519.100;-2.35
01/07/1988;16.31;758.575.197.889.182;1.15
01/08/1988;15.18;-6.928.264.868.179.030;-1.13
01/09/1988;13.37;-11.923.583.662.714.000;-1.81
