date,price,percentChange,change
2018-01-01,64.73,7.133399536577293,4.31
2018-02-01,61.64,-4.773675266491581,-3.09
2018-03-01,64.94,5.353666450356911,3.3
2018-04-01,68.57,5.589775177086541,3.63
2018-05-01,67.04,-2.2312964853434445,-1.53
2018-06-01,74.15,10.605608591885442,7.11
2018-07-01,68.76,-7.269049224544841,-5.39
2018-08-01,69.9977,1.8000290866783013,1.2377
2018-09-01,73.5992,5.145169055554683,3.6015
2018-10-01,65.31,-11.262622419808912,-8.2892
2018-11-01,50.93,-22.018067677231663,-14.38
2018-12-01,45.41,-10.838405654820342,-5.52
2019-01-02,53.79,18.454085003303238,8.38
2019-02-01,57.22,6.376649934932144,3.43
2019-03-01,60.14,5.103110800419434,2.92
2019-04-01,63.91,6.268706351845694,3.77
2019-05-01,53.5,-16.28853074636207,-10.41
2019-06-02,59.4601,11.140373831775701,5.9601
2019-07-01,58.58,-1.4801522365418154,-0.8801
2019-08-01,55.1,-5.9405940594059405,-3.48
2019-09-01,54.07,-1.8693284936479129,-1.03
2019-10-01,54.18,0.2034399852043647,0.11
2019-11-01,55.4872,2.4126984126984126,1.3072
2019-12-01,60.7556,9.494802404878962,5.2684
2020-01-01,51.56,-15.13539492655821,-9.1956
2020-02-03,44.76,-13.188518231186967,-6.8
2020-03-02,20.48,-54.24486148346738,-24.28
2020-04-01,18.84,-8.0078125,-1.64
2020-05-01,35.49,88.37579617834395,16.65
2020-06-01,39.27,10.650887573964496,3.78
2020-07-01,40.27,2.5464731347084286,1.0
2020-08-03,42.61,5.810777253538614,2.34
2020-09-01,40.22,-5.609011969021356,-2.39
2020-10-01,35.79,-11.014420686225758,-4.43
2020-11-02,45.34,26.683431126012852,9.55
2020-12-01,48.52,7.013674459638288,3.18
2021-01-04,52.2,7.5845012366034625,3.68
2021-02-01,61.5,17.816091954022987,9.3
2021-03-01,59.16,-3.8048780487804876,-2.34
2021-04-01,63.58,7.471264367816092,4.42
2021-05-03,66.93,5.268952500786411,3.35
2021-06-01,73.47,9.771402958314656,6.54
2021-07-01,73.95,0.6533278889342589,0.48
2021-08-02,68.5,-7.369844489519946,-5.45
2021-09-01,75.03,9.532846715328468,6.53
2021-10-01,81.78,8.99640143942423,6.75
2021-11-01,65.85,-19.479090242112985,-15.93
2021-12-01,74.88,13.712984054669704,9.03
2022-01-03,86.49,15.504807692307692,11.61
2022-02-01,95.72,10.671753959995375,9.23
2022-03-01,109.33,14.218554116172168,13.61
